SNO,Author,Title,Year,Department,Course,
39152,"MAHABOOB BASHA,  S.",CIVIL ENGINEERING DRAWING - 2 /,2017,CIV,CSE,
39316,"SREENIVASULU,   M.",CIVIL ENGINEERING DRAWING - 2 /,2017,CIV,CSE,
43250,"MAHABOOB BASHA,  S.",CIVIL ENGINEERING DRAWING - 3 /,2019,CIV,DH&S,
38762,"BAHGA,  ARSHDEEP",CLOUD COMPUTING : A HANDS ON APPROACH /,2014,CIV,DMEC,
38740,"MARINESCU,  DAN C.",CLOUD COMPUTING THEORY AND PRACTICE /,2013,CIV,DCIV,
148,"RAM, BADRI",COMPUTER FUNDAMENTALS :,2015,CIV,CIV,
551,"JOHN, P.",COMPUTER ORGANISATION AND ARCHITECTURE /,2016,CIV,DMEC,
138,"HUNT, ROGER",COMPUTERS AND COMMON SENSEN /,2017,CIV,DCIV,
237,"RAJARAMAN, V.",COMPUTERS AND INFORMATION TECHNOLOGY /,2015,CIV,CIV,
38793,"GAMBHIR,  M.L.",CONCRETE TECHNOLOGY /,2015,CIV,DCIV,
41942,"SARKAR,  SUBIR K.",CONSTREETION TECHNOLOGY /,2017,CIV,DECE,
39577,"SOMBABU,  Y.","CONSTRUCTION FAILURES, REPAIRS AND MAINTENANCE / ",2016,CIV,CSE,
39522,"VASAVI SWETHA,  D.","CONSTRUCTION FAILURES, REPAIRS AND MAINTENANCE / ",2017,CIV,CSE,
43259,"KRISHNA SAI,  L.",CONSTRUCTION MATERIALS /,2020,CIV,MBA,
39278,SHANKAR RAVI,CONSTRUCTION MATERIALS /,2016,CIV,CSE,
43261,"SHANKAR,  R.",CONSTRUCTION MATERIALS /,2020,CIV,DECE,
38937,"SREENIVASULU,   M.",CONSTRUCTION MATERIALS /,2017,CIV,DCIV,
39566,"MAHABOOB BASHA,  S.",CONSTRUCTION PRACTICE /,2016,CIV,CIV,
39564,"SATTIBABU,  K.",CONSTRUCTION PRACTICE /,2017,CIV,CSE,
39311,"SREENIVASULU,   M.",CONSTRUCTION PRACTICE /,2017,CIV,CSE,
39508,"DHEERENDRA BABU,  M.R.",CONSTRUCTION TECHNOLOGY & VALUATION /,2017,CIV,CSE,
38445,"KRISHNA SARMA,  H.",CONSTRUCTION TECHNOLOGY & VALUATION /,1999,CIV,DMEC,
529,"GOPAL, M.",CONTROL SYSTEM /,2013,CIV,DMEC,
493,"ANANDANATARAJAN, R.",CONTROL SYSTEM ENGINEERING /,2016,CIV,DMEC,
182,LIPSCHUTZ,DATA STRUCTURES /,2015,CIV,CIV,
200,"AHO, ALFRED V.",DATA STRUCTURES AND ALGORITHMS /,2015,CIV,CIV,
177,"TENENBAUM, AARON M.",DATA STRUCTURES USING C AND C++ /,2013,CIV,DCIV,
212,"ROBERT, L.",DATASTRUCTURES AND PROGRAMING DESIGN IN C /,2012,CIV,CIV,
39158,"DHEERENDRA BABU,  M.R.",DESIGN AND DETAILING OF R C ELEMENTS /,2017,CIV,CSE,
38790,"DUGGAL,  S.K.",DESIGN OF STEEL STRUCTURES /,2009,CIV,DCIV,
788,"ANDREAS, ANTONIOU",DIGITAL FILTERS :,1997,CIV,ECE,
38808,"SHAW,  RAJIB",DISASTER GLOBAL CHALLENGES AND LOCAL SOLUTIONS /,2016,CIV,DCIV,
38737,"KAI,  HWANG",DISTRIBUTED AND CLOUD COMPUTING /,2012,CIV,DCIV,
41018,"OZA,  HASMUKH P.",DOCK AND HARBOUR ENGINEERING /,2016,CIV,DEEE,
565,DESHPANDE. M.V.,ELEC TRICAL MACHINES /,2016,CIV,DMEC,
356,"DAS, RAKOSH",ELECTRO-MECHANICAL ENGINEERING COVERSION WITH DYNAMIC MACHINES /,2016,CIV,CIV,
476,KRAUS,ELECTROMAGNETICS WITH APPLICATIONS /,2016,CIV,DECE,
294,"LAL KISHORE, K.",ELECTRONIC DEVICES & CIRCUITS /,2016,CIV,DCIV,
300,"MOTTERSHEAD, ALLEN",ELECTRONIC DEVICES & CIRCUITS /,2016,CIV,DCIV,
406,"DESHPANDE, M.V.",ELEMENTS OF ELECTRICAL POWER STATION DESIGN /,2015,CIV,CIV,
252,"HAYT, WILLIAM H.",ENGINEERING CIRCUIT ANALYSIS /,1999,CIV,DCIV,
306,"BHATT, N.D.",ENGINEERING DRAWING /,2010,CIV,CIV,
39642,"VASUDEV,  KANITHI",ENGINEERING GEOLOGY /,2016,CIV,MBA,
38800,"SUBRAMANYAM,  K.",ENGINEERING HYDROLOGY /,2016,CIV,DCIV,
48,LAJPATHI RAI,ENGINEERING MATHEMATICS - 3 /,2013,CIV,DCIV,
655,"RAO, SINGIRESU S.",ENGINEERING OPTIMIZATION :,2013,CIV,ME,
43252,"LAKSHMI PRASAD,  S.R.",ENVIRONMENTAL ENGINEERING /,2020,CIV,MBA,
38799,"PEAVY,  HOWARD S.",ENVIRONMENTAL ENGINEERING /,2016,CIV,DCIV,
41024,"ASKELAND,  DONALD R.",ESSENTIALS OF MATERIALS SCIENCE AND ENGINEERING /,2010,CIV,DEEE,
38803,"DUTTA,  B.N.",ESTIMATING AND COSTING IN CIVIL ENGINEERING /,2011,CIV,DCIV,
39148,"GOPLALAIH,  M.",ESTIMATING COSTING /,2017,CIV,CSE,
38757,"SUBRAMANYAM,  K.",FLOW IN OPEN CHANNELS /,2015,CIV,DCIV,
351,"GUPTA, B.R.",FOUNDAMENTALS OF ELECTRIC MACHINES /,2016,CIV,CIV,
806,"GUPTA, B.R,",FUNDAMENTALS OF ELECTRACL NETWORKS /,2014,CIV,EEE,
39654,"SUBRAMANIAN,  R.",FUNDAMENTALS OF SURVEYING AND LEVELLING /,2014,CIV,DCOM,
45709,GATE FORUM,GATE CIVIL ENGINEERING,2017,CIV,CIV,
38743,G.K. PUBLICATIONS,GATE CIVIL ENGINEERING-2017 /,2016,CIV,DCIV,
38796,"NAG,  P.K.",HEAT AND MASS TRANSFER /,2016,CIV,DCIV,
764,"MANI NAIDU, S.",HIGH VOLTAGE ENGINEERING /,2013,CIV,ME,
93,"GREWAL, B.S.",HIGHER ENGINEERING MATHEMATICS /,2016,CIV,H&S,
39011,"SUBRAMANYAM,  K.",HIGHWAY RAILWAY AIRPORT AND HARBOUR ENGINEERING /,2016,CIV,CIV,
153,"DROMEY, R.G.",HOW TO SOLVE IT BY COMPUTER /,2014,CIV,DCIV,
143,"CURTIN, DENNIS P.",INFORMATION TECHNOLOGY :,2015,CIV,CIV,
240,"KAHATE, ATUL",INFORMATION TECHNOLOGY AND NUMERICAL METHODS /,2015,CIV,CIV,
696,"SRINIVAS REDDY, E.",INTERFACING THROUGH MICROPROCESSOR /,2012,CIV,ME,
436,"DORID, J.",INTRODUCTION TO ELECTRODYNAMICS /,2012,CIV,CIV,
43,"KITTEL, CHARLES",INTRODUCTION TO SOLID STATE PHYSICS /,2016,CIV,CIV,
39184,"NAVEEN KUMAR,  K.",IRRIGATION ENGINEERING /,2017,CIV,CSE,
214,"KANETKAR, YASHAVANT P.",LET US C /,2014,CIV,DCIV,
21,"CHATTERJEE, ENAKSHI",MASTER MINDS /,2015,CIV,CIV,
141,"RAVINDRANATH, V.",MATHEMATICAL METHODS /,2015,CIV,CIV,
600,"NAGRATH, I.J.",MODERM POWER SYSTEM /,2000,CIV,ECE,
506,OGATA,MODERN CONTROL ENGINEERING /,2016,CIV,DMEC,
282,"KUO, FRANTLIN F.",NETWORK ANALYSIS AND SYNTHESIS /,2016,CIV,DCIV,
257,"ROY, CHOUDHURY D.",NETWORKS AND SYSTEMS /,1999,CIV,DCIV,
247,"RYDER, JOHN D.",NETWORKS LINES AND FIELDS /,1999,CIV,DCIV,
38754,"PRASAD,  T.",NON-DESTRUCTIVE TEAST AND EVALUATION OF MATERIALS /,2017,CIV,DCIV,
167,"BALAGURUSAMY, E.",NUMERICAL METHODS /,2014,CIV,DCIV,
158,"RAJASEKHARAN, S.",NUMERICAL METHODS IN SCIENCE AND ENGINEERING /,2015,CIV,CIV,
41939,"SRINIVASA KUMAR,  R.",PAVEMENT DESIGN /,2013,CIV,EEE,
38,"SHUR, MICHAEL",PHYSICS OF SEMICONDUCTOR DEVICES /,2014,CIV,DCIV,
411,"GUPTA, B.R.",POWER SYSTEM ANALYSIS AND DESIGN /,2015,CIV,CIV,
798,BADRI RAM,POWER SYSTEM PROTECTION AND SWITCHGEAR /,2015,CIV,CIV,
41936,"PANDIT,  G.S.",PRESTRESSED CONCRETE /,2017,CIV,DECE,
41909,"REISEL,  JOHN R.",PRINCIPLES OF ENGINEERING THERMODYNAMICS /,2016,CIV,DECE,
38730,"DAS,  BRAJA M.",PRINCIPLES OF FOUNDATION ENGINEERING /,2011,CIV,CSE,
41950,"DAS,  BRAJA M.",PRINCIPLES OF GEOTECHNICAL ENGINEERING /,2018,CIV,DECE,
39069,"PAKIRAPPA,  NARESH V.",PRODUCTION TECHNOLOGY - 1 /,2017,CIV,CSE,
39192,"ANITHA,  M.",PRODUCTION TECHNOLOGY - 2 /,2017,CIV,CSE,
172,"PRASAD, VENUGOPAL",PROGRAMMING C /,2014,CIV,DCIV,
719,"BREY, BARRY B.","PROGRAMMING THE 80286, 80386, 80486,N AND PENTIUM-BASED PERSONAL COMPUTER / ",2014,CIV,ME,
195,"GOTTFRIED, BYROS",PROGRAMMING WITH C /,2014,CIV,CIV,
39180,"PRAVEEN KUMAR,  B.",PROJECT MANAGEMENT FOR CONSTRUTION /,2017,CIV,CSE,
39411,"NAVILLE,  A.M.",PROPERTIES OF CONCRETE /,2014,CIV,CSE,
39524,"RAMA KRISHNA REDDY,  K.",QUALITY CONTROL & SAFETY IN CONSTRUCTION /,2017,CIV,CSE,
39156,"RAMA MOHAN RAO,  Y.",QUANTITY SURVEYING - 2 /,2017,CIV,CSE,
39570,"RAMA MOHAN RAO,  Y.",QUANTITY SURVEYING /,2017,CIV,CIV,
41023,"RANGWALA,  S.C.",RAILWAY ENGINEERING /,2015,CIV,DEEE,
39568,"DHEERENDRA BABU,  M.R.",REINFORCED CONCRETE STRUCTURES /,2017,CIV,CIV,
39291,"MANIKANTA,  K.N.A.G.K.",REINFORCED CONCRETE STRUCTURES /,2017,CIV,CSE,
302,"SALIVAHANAN, .S.",SEMICONDUCTOR DEVICES& CIRCUITS /,2015,CIV,CIV,
303,"SALIVAHANAN, .S.",SEMICONDUCTOR DEVICES&CIRCUITS /,2011,CIV,CIV,
41945,"WORRELL,  WOLLOAM A.",SOLID WASTE ENGINEERING /,2012,CIV,DECE,
39499,"NAGA SRINIVASA RAO,  K.",STEEL STRUCTURES /,2017,CIV,CSE,
41031,"SUBRAMANLAN,  R.",STRENGRH OF MATERIALS /,2017,CIV,DEEE,
41055,"DONGRE,  A. P.",STRENGTH OF MATERIALS /,2017,CIV,DEEE,
39186,"RAMA MOHAN RAO,  Y.",STRENGTH OF MATERIALS AND THEORY OF STRUCTURES /,2017,CIV,CSE,
11,"NARAYANASWAMI, V.R.",STRENGTHEN YOUR WRITING /,2014,CIV,H&S,
41947,"PRAKASH RAO,  D.S.",STRUCTURAL ANALYSIS /,2017,CIV,DECE,
39645,"KRISHNA RAJU,  N.",STRUCTURAL DESIGN & DRAWING :,2017,CIV,DCOM,
38450,"MAHABOOB BASHA,  S.",STRUCTURAL ENGINEERING DRAWING /,1999,CIV,DMEC,
1,"NARAYANASWAMY, K.S.",SUCCESS WITH GRAMMAR AND COMPOSITION /,2007,CIV,H&S,
39282,"NAGESH KUMAR,  G.",SURVEYING - 2 /,2017,CIV,CSE,
38720,"KRISHNA SARMA,  H.",SURVEYING - 3 /,2016,CIV,DCIV,
769,"DESHPANDE, M.V.",SWITCHINGEAR AND PROTECTION /,2015,CIV,ME,
41029,"SRINIVASA KUMAR,  R.",TEXT BOOK OF HIGHWAY ENGINEERING /,2016,CIV,DEEE,
189,"SCHILDT, HERBERT",THE COMPLETE REFERENCE C /,2016,CIV,CIV,
396,"LANGSDORF, ALEXANDRR S.",THEORY OF ALTERNATING CURRENT MACHINERY /,2012,CIV,CIV,
41063,"RATTAN,  S.S.",THEORY OF MACHINES /,2017,CIV,DEEE,
41933,"RATHERE,  MAHESH M.",THERMAL ENGINEERING - 1 /,2018,CIV,DECE,
39160,"SREENIVASULU,   M.",THERMAL ENGINEERING - 2 /,2017,CIV,CSE,
41906,"POTTER,  MERLC C.",THERMAL SCIENCES /,2004,CIV,DECE,
26,BARRON'S,TOFEL TEST OF ENGLISH AS A FOREIGN LANAGAUAGE /,2015,CIV,CIV,
41952,"SRINIVASA KUMAR,  R.",TRANSPORTALTION ENGINEERING /,2016,CIV,DECE,
38723,"KRISHNA SARMA,  H.",TRANSPORTATION ENGINEERING /,2016,CIV,DCIV,
613,GHOSH,VECTORY ANALYSIS /,2014,CIV,ME,
5319,"DESPAIN, JAMES",...AND DIGNITY FOR ALL /,1978,CSE,CSE,
6110,"NATHAN, ADAM",.NET AND COM /,2003,CSE,CSE,
38588,"GOUSE BASHA,  S.K.",.NET PROGRAMMING /,1999,CSE,DMEC,
5234,"WARNER, BOOKS",10 DAYS TO A SHARPER MEMORY /,2002,CSE,CSE,
5223,"FRY, RON",101 GREAT ANSWERS TO THE TOUGHEST INTERIEW QUESTIONS /,2006,CSE,CSE,
6699,"MARTIN, JOHN YATE",101 GREAT ANSWERS TO THE TOUGHEST INTERIEW QUESTIONS /,2006,CSE,H&S,
4521,"MISHRA,T.R",103 PROJECTS IN LED S /,2003,CSE,CSE,
6697,"WILSON, JERRY R.",151 QUICK IDEAS TO INSPIRE YOUR STAFF /,,CSE,H&S,
2465,"CATHEY, JIMMIE J.",2000 SALVED PROBLEMS IN ELECTRONICS /,2007,CSE,CSE,
2637,"LIPSCHUTZ, SEYMOUR",2000 SOLVED PROBLEMS IN DISCRETE MATHEMATICS /,2000,CSE,CSE,
5149,"KADAR, JOHN",201 BEST QUESTIONSTO ASK ON YOUR INTERVIEW /,2010,CSE,CSE,
5243,"TIERNEY, ELIZABETH",30 MINUTES TO BOOST YOUR COMMUNICATIONS SKILLLS /,1996,CSE,ECE,
5247,"BARKER, ALAN",30 MINUTES... BEFORE A MEETING /,2007,CSE,CSE,
5251,"CLEGHARN, PATRICIA",30 MINUTES.... TO BOOST YOUR SELF ESTEEM /,2007,CSE,CSE,
5259,"FORSYTH, PATRICK",30 MINUTES.... TO MOTIVATE YOUR STAFF /,,CSE,CSE,
5244,"CALT, HILTON",30 MINUTES..... TO IMPROVE YOUR NETWORKING SKILLS /,2007,CSE,CSE,
5257,"YOUNG, TREVOR L.",30 MINUTES....TO PLAN A PROJECT /,2007,CSE,ECE,
5250,"FINCH, BRIAN",30 MINUTES...TO NEGOTIATE A BETTER DEAL /,2007,CSE,MBA,
5246,"ARMSTRONG, STEVEN",30 MINUTS TO MASTER THE INTERNET /,2008,CSE,MBA,
5249,"SUTHERLAND, VALERIC",30 MINUTS... TO DEAL WITH DIFFICULT PEOPLE /,2007,CSE,CSE,
5255,"BARKER, ALAN",30 MINUTS.... TO BRAINSTROM GREAT IDEAS /,,CSE,CSE,
5252,"CAMBRIDGE, DIANA",30 MINUTS.... TO GET PROMOTED /,2008,CSE,CSE,
5253,"ATHERTON, TONY",30 MINUTS.... TO GET YOUR OWN WAY /,2006,CSE,MBA,
5245,"ATHERTON, TONY",30 MINUTS.... TO MANAGE YOUR TIME BETTER /,2007,CSE,CSE,
5258,"STEVENS, MICHAEL",30 MINUTS.... TO SOLVE THAT PROBLEM /,1980,CSE,EEE,
5261,"WESTWOOD, JOHN",30 MINUTS.... TO WRITE A MARKITING PLAN /,2000,CSE,CSE,
5248,"FORSYTH, PATRICK",30 MUNITS... BEFORE A PRESENTATION /,2003,CSE,ECE,
5260,"FINCH, BRIAN",30 MUNITS.... TO WRITE A BUSINESS PLAN /,,CSE,CSE,
2764,"NASAR, SYAD A.",3000 SOLVED PROBLEMS IN ELECTRIC CIRCUIT /,2007,CSE,CSE,
6093,TECH,302 CIRCUITS /,2002,CSE,CSE,
6094,TECH,303 CIRCUITS /,2002,CSE,CSE,
6095,TECH,304 CIRCUITS /,2003,CSE,CSE,
6096,TECH,305 CIRCUITS /,2003,CSE,CSE,
6097,TECH,306 CIRCUITS /,2003,CSE,CSE,
6098,TECH,307 CIRCUITS /,2003,CSE,CSE,
6099,TECH,308 CIRCUITS /,2003,CSE,CSE,
4529,"SHARMA, M.C.",555 TIMER AND ITS APPLICATIONS /,2007,CSE,CSE,
43456,"FRANKS,  BILL",97 THINGS ABOUT ETHICS EVERYONE LINDATA SCIENCE SHOULD KNOW /,2020,CSE,ME,
1624,"LEON, ALEXIS",A BIGGING GUITE TO COMPUTERS /,2010,CSE,MBA,
5332,"HAWKING, STEPHEN W.",A BRIEF HISTORY OF TIME :,1993,CSE,CSE,
43429,"TRIVEDI,  MUNESH CHANDRA",A CLASSICAL APPROACH TO ARTIFICIAL INTELLIGENCE /,2020,CSE,ME,
5752,"SONI, M.L.",A COURSE IN ELECTRICAL CIRCUITS ANALYSIS /,2008,CSE,CSE,
5749,"GUPTA, C.B.",A COURSE IN ELECTRICAL POWER /,2008,CSE,CSE,
5062,"BALI, SURINDER PAL",A DICTIONARY OF ELECTRICAL ENGINEERING /,2000,CSE,MTECE_VLSI,
43541,"KHAMANI,  DEEPAK",A FIRST COURSE IN ARTIFICIAL INTELLIGENCE /,2021,CSE,DMEC,
1626,"SAXENA, SANJAY",A FIRST COURSE IN COMPUTERS /,2009,CSE,CSE,
2188,"ULLMAN, JEFFREY D.",A FIRST COURSE IN DATABASE SYSTEMS /,2006,CSE,CSE,
3820,"PILLAI, S.K.",A FIRST COURSE ON ELECTRICAL DRIVES /,2005,CSE,CSE,
2112,"WIEST, JEROME D.",A MANAGEMENT GUIDE TO PERT/CPM :,2007,CSE,CSE,
39637,"BRONSON,  GARY I.",A N S I PROGRAMMING /,2016,CSE,DEEE,
6286,"SETHI, J.",A PRACTICAL COURSE IN ENGLISH PRONUNCIATION /,2005,CSE,CSE,
3763,"JHONSON, A.J.",A PRACTICAL ENGLISH GRAMMER /,2007,CSE,CSE,
5021,"MUGHAL, KHALID A.",A PROGRAMMERS GUIDE TO JAVA CERTIFICATION /,2008,CSE,CSE,
38558,"HIMAJA,  I.",A TEXT BOOK MICROPROCESSORS /,1999,CSE,DMEC,
3159,"THERAJA, B.L.",A TEXT BOOK OF ELECTRICAL TECHNOLOGY - 2 :,1999,CSE,CSE,
4728,"IYENGAR, T.K.V.",A TEXT BOOK OF ENGINEERING MATHEMATICS - 3 /,2004,CSE,CSE,
5667,"ANJANEYULU, A.",A TEXT BOOK OF ENGINEERING MATHEMATICS -1 /,2006,CSE,CSE,
6154,ITL EDUCTION,A TEXT BOOK OF ENGINEERING MATHEMATICS /,2004,CSE,CSE,
2824,"IYENGAR, T.K.V.",A TEXT BOOK OF ENGINEERING MATHEMATICS /,2007,CSE,CSE,
4302,"BANSAL, R.K.",A TEXT BOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES /,1999,CSE,CSE,
4381,"KHURMI, R.S.",A TEXT BOOK OF THERMAL ENGINEERING /,2001,CSE,CSE,
1591,"CHAKRABARTI, ABHIJIT",A TEXT BOOK ON POWER SYSTEM ENGINEERING /,1994,CSE,CSE,
1471,"KHURMI, R.S.",A TEXTBOOK OF THERMAL ENGINEERING /,2006,CSE,CSE,
38732,"SRIMANI,  P.K.",A TEXTBOOK ON AUTOMATA THEORY /,2017,CSE,DCIV,
1884,"THOMAS, REBECCA",A USER GUIDE TO UNIX SYSTEM /,2007,CSE,CSE,
5576,"BHASKER, J.",A VERILOG HDL PRIMER /,2005,CSE,CSE,
5195,"GARG, ANU",A WORD A DAY /,2002,CSE,CSE,
2432,"ROBINSON, CELESTE",ACCESS 2000 NO EXPERIENCE AQUIRED /,2009,CSE,CSE,
5169,"FLANING, JOH",ACHIEVING CONSENSUS /,2008,CSE,MBA,
4207,"HAYKIN, SIMON",ADAPTIVE FILTER THEORY /,2004,CSE,CSE,
6381,"PATTABIRAM, B.V.",ADBUTHA PRAPANCHAM : ATEENDRIA SAKTULU /,2005,CSE,CSE,
5429,"SIMA, DESZO",ADVANCED COMPUTER ARCHITECTURE /,2001,CSE,CSE,
2336,"HWANG, KAI",ADVANCED COMPUTER ARCHITECTURE AND PARREL PROCESSING /,2016,CSE,DCSE,
6589,"MUKESH, SINGHAL",ADVANCED CONCEPTS IN OPERATING SYSTEMS /,2010,CSE,CSE,
5471,"MUKESH, SINGHAL",ADVANCED CONCEPTS IN OPERATING SYSTEMS :,2002,CSE,CSE,
39608,"REEMA,  THAREJA",ADVANCED DATA STRUCTURES /,2018,CSE,CSE,
39244,"MADHAVI,  A.",ADVANCED DATABASE SYSTEMS /,2017,CSE,CSE,
4733,"GREEN, MICHAEL D.",ADVANCED ENGINEERING MATHEMATICS /,2007,CSE,CSE,
1695,"HEWINGS, MARTIN",ADVANCED ENGLISH GRAMMAR /,2006,CSE,CSE,
6535,"DUNAEV, S.",ADVANCED INTERNET PROGRAMMING /,2015,CSE,CSE,
38568,"AHMED BASHA,  S.K.",ADVANCED JAVA PROGRAMMING /,1999,CSE,DMEC,
39504,"SUDHA MOHAN,  D.",ADVANCED MICRO CONTROLLERS /,2016,CSE,CSE,
5024,"RAY, AJOY KUMAR",ADVANCED MICROPROCESSORS AND PERIPHERALS /,2008,CSE,CSE,
2292,"STEVENS, RECHARD W.",ADVANCED PROGRAMMING IN THE UNIX ENVIRONMENT /,2000,CSE,CSE,
4858,"VENKATESWARLU, N.B.",ADVANCED UNIX PROGRAMMING /,2008,CSE,CSE,
43457,"JURNEY,  RUSSELL",AGILE DATA SCIENCE.2.0 /,2017,CSE,ME,
43445,"MORONEY,  LAURENCE",AI AND MACHINE LEARNING FOR ON-DEVICE DEVELOPMENT /,2021,CSE,ME,
43480,"DEEPIKA,  M.",AI AND ML POWERING THE AGENTS OF AUTOMATION /,2009,CSE,DMEC,
43446,"CASTROUNIS,  ALEX",AI FOR PEOPLE AND BUSINESS /,2019,CSE,ME,
43447,"HOLLEY,  KERRIEL",AI.FIRST HEALTHCARE /,2021,CSE,ME,
5874,"JAIN, RAJIV",AKAI VCP SERVICE MANUAL /,1999,CSE,CSE,
6692,"MURTHI, R.K.",ALBERT EINSTEIN /,2003,CSE,H&S,
5239,"BOSE, PARTHA",ALEXANDER THE GREATS ART OF STRATEGY /,2006,CSE,CSE,
4668,"GOODRICH, MICHAEL T.",ALGORITHM DESIGH /,2006,CSE,CSE,
2743,"WIRTH, NIKLAUS",ALGORITHMS + DATA STRUCTURES = PROGRAMS /,2004,CSE,CSE,
6721,"HARSHA, A.",AMAZING PUZZLES /,2003,CSE,GENERAL,
3959,"KESHAV, S.",AN ENGINEERING APPROACH TO COMPUTER NETWORKING /,2008,CSE,CSE,
4174,"FLETCHER, WILLIAM I.",AN ENGINEERING APPROACH TO DIGITAL DESIGN /,2003,CSE,CSE,
43509,"FADIA,  ANKIT",AN ETHICAL GUIDE TO HACKING MOBILE PHONES /,2010,CSE,DMEC,
2237,"JALOTE, PANKAJ",AN INTEGRATED APPROACH TO SOFTWARE ENGINEERING /,1996,CSE,CSE,
4115,"MAITY, K.C.",AN INTRODUCTION DIFFERENTIAL EQUAIONS /,2009,CSE,CSE,
2660,"TIMOTHY, BUDD",AN INTRODUCTION TO DATA DISTRIBUTION PROGRAMMING /,2006,CSE,CSE,
1494,"DESAI, BIPIN C.",AN INTRODUCTION TO DATABASE SYSTEMS /,2000,CSE,CSE,
5360,"SPENCER, RICHARD R.",AN INTRODUCTION TO ELECTRONIC CIRCUIT DESIGN /,1999,CSE,CSE,
4428,"LINZ, PETER",AN INTRODUCTION TO FORMAL LANGUAGES AND AUTOMATA /,2006,CSE,CSE,
1819,"DANIEL, LIANG Y.",AN INTRODUCTION TO JAVA PROGRAMMING /,2003,CSE,CSE,
5801,"ANDERSON, JAMES A.",AN INTRODUCTION TO NEURAL NETWORKS /,2016,CSE,CSE,
3944,"BUDD, TIMOTHY A.",AN INTRODUCTION TO OBJECT ORIENTED PROGRAMMING /,2003,CSE,CSE,
4763,"THOMAS, WU C.",AN INTRODUCTION TO OBJECT ORIENTED PROGRAMMING WITH JAVA /,2006,CSE,CSE,
5496,"EBELING, CHARLES E.",AN INTRODUCTION TO RELIABILITY AND MAINTAINABILITY ENGINEERING /,2003,CSE,CSE,
43522,"GARETH,  JAMES",AN INTRODUCTION TO STATISTICAL LEARNING WITH APPLICATIONS IN R /,2015,CSE,DMEC,
2672,"ANTONAKOS, JAMES L.",AN INTRODUCTION TO THE INTEL FAMILY OF MICROPROCESSORS /,2000,CSE,CSE,
5628,"HANCOCK, JOHN C.",AN INTRODUCTION TO THE PRINCIPLES OF COMMUNICATION THEORY /,2006,CSE,CSE,
1395,"RAMAMOORTY, M.",AN INTRODUCTION TO THYRISTORS AND THEIR APPLICATIONS /,2000,CSE,H&S,
